sortKey,city,state,country,name,typeSlug,distanceSlugs,providerSlug,detailUrl
2026-09-13T03:00,Vitória,ES,Brasil,Desafio Energia Petrobras - Bike - Vitória 2026,road,10km,running-land,https://www.runningland.com.br/eventos/desafio-energia-petrobras-bike-vitoria-2026
2026-09-20T03:00,Anápolis,GO,Brasil,Circuito das Estações 2026 - Primavera - Anápolis,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-anapolis
2026-09-20T03:00,São Luís,MA,Brasil,Circuito das Estações 2026 - Primavera - São Luís,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-s-o-luis
2026-09-26T03:00,Campo Grande,MS,Brasil,Circuito das Estações 2026 - Primavera - Campo Grande,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-campo-grande
2026-09-27T03:00,Aracaju,SE,Brasil,Circuito das Estações 2026 - Primavera - Aracaju,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-aracaju
2026-09-27T03:00,João Pessoa,PB,Brasil,Circuito das Estações 2026 - Primavera - João Pessoa,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-jo-o-pessoa
2026-09-27T03:00,Palmas,TO,Brasil,Circuito das Estações 2026 - Primavera - Palmas,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-palmas
2026-09-27T03:00,Teresina,PI,Brasil,Circuito das Estações 2026 - Primavera - Teresina,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-teresina
2026-10-11T03:00,Natal,RN,Brasil,Circuito das Estações 2026 - Primavera - Natal,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-primavera-natal
2026-10-17T12:00,Pomerode,SC,Brasil,MARATONA INTERNACIONAL DE POMERODE,road,6km,corre-brasil,https://www.correbrasil.com.br/maratona-de-pomerode-2026
2026-10-18T05:30,São Paulo,SP,Brasil,Mizuno Athenas Run Longer 2026,road,7km;14km;21-1km;28km,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/athenas-run-longer-2026
2026-10-18T08:30,São Paulo,SP,Brasil,Athenas Kids Run Longer 2026,road,kids-run,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/athenas-kids-run-longer-2026
2026-11-08T02:00,Ribeirão Preto,SP,Brasil,Blue Run - Ribeirão Preto 2026,road,5km;10km,running-land,https://www.runningland.com.br/eventos/blue-run-ribeir-o-preto-2026
